,Seed query,Entry,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function),Topological domain,Transmembrane,Subcellular location [CC],Intramembrane
0,"(gene:""AADAC"")",P22760,AAAD_HUMAN,Arylacetamide deacetylase (EC 3.1.1.3),AADAC DAC,Homo sapiens (Human),399,lipid metabolic process [GO:0006629]; positive regulation of triglyceride catabolic process [GO:0010898]; xenobiotic metabolic process [GO:0006805],endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; catalytic activity [GO:0003824]; deacetylase activity [GO:0019213]; lipase activity [GO:0016298]; serine hydrolase activity [GO:0017171]; triglyceride lipase activity [GO:0004806]; lipid metabolic process [GO:0006629]; positive regulation of triglyceride catabolic process [GO:0010898]; xenobiotic metabolic process [GO:0006805],catalytic activity [GO:0003824]; deacetylase activity [GO:0019213]; lipase activity [GO:0016298]; serine hydrolase activity [GO:0017171]; triglyceride lipase activity [GO:0004806],"TOPO_DOM 1..5; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 24..399; /note=""Lumenal""; /evidence=""ECO:0000255""","TRANSMEM 6..23; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type II membrane protein. Microsome membrane; Single-pass type II membrane protein.,
1,,C9K0E9,C9K0E9_HUMAN,Arylacetamide deacetylase,AADAC,Homo sapiens (Human),204,,membrane [GO:0016020],membrane [GO:0016020]; hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],,"TRANSMEM 6..23; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
0,"(gene:""CYP4F3"")",Q08477,CP4F3_HUMAN,Cytochrome P450 4F3 (EC 1.14.14.1) (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (CYPIVF3) (Cytochrome P450-LTB-omega) (Docosahexaenoic acid omega-hydroxylase CYP4F3) (EC 1.14.14.79) (Leukotriene-B(4) 20-monooxygenase 2) (Leukotriene-B(4) omega-hydroxylase 2) (EC 1.14.14.94),CYP4F3 LTB4H,Homo sapiens (Human),520,arachidonic acid metabolic process [GO:0019369]; fatty acid omega-oxidation [GO:0010430]; icosanoid metabolic process [GO:0006690]; leukotriene B4 catabolic process [GO:0036101]; leukotriene metabolic process [GO:0006691]; lipoxin A4 metabolic process [GO:2001302]; lipoxin B4 metabolic process [GO:2001304]; omega-hydroxylase P450 pathway [GO:0097267],endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; 20-aldehyde-leukotriene B4 20-monooxygenase activity [GO:0097259]; 20-hydroxy-leukotriene B4 omega oxidase activity [GO:0097258]; aromatase activity [GO:0070330]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; leukotriene-B4 20-monooxygenase activity [GO:0050051]; long-chain fatty acid omega-1 hydroxylase activity [GO:0120319]; long-chain fatty acid omega-hydroxylase activity [GO:0102033]; monooxygenase activity [GO:0004497]; very long-chain fatty acid omega-hydroxylase activity [GO:0140692]; arachidonic acid metabolic process [GO:0019369]; fatty acid omega-oxidation [GO:0010430]; icosanoid metabolic process [GO:0006690]; leukotriene B4 catabolic process [GO:0036101]; leukotriene metabolic process [GO:0006691]; lipoxin A4 metabolic process [GO:2001302]; lipoxin B4 metabolic process [GO:2001304]; omega-hydroxylase P450 pathway [GO:0097267],20-aldehyde-leukotriene B4 20-monooxygenase activity [GO:0097259]; 20-hydroxy-leukotriene B4 omega oxidase activity [GO:0097258]; aromatase activity [GO:0070330]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; leukotriene-B4 20-monooxygenase activity [GO:0050051]; long-chain fatty acid omega-1 hydroxylase activity [GO:0120319]; long-chain fatty acid omega-hydroxylase activity [GO:0102033]; monooxygenase activity [GO:0004497]; very long-chain fatty acid omega-hydroxylase activity [GO:0140692],,"TRANSMEM 11..31; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:10409674}; Single-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000305|PubMed:10409674}; Single-pass membrane protein {ECO:0000255}.,
1,,K7EJZ8,K7EJZ8_HUMAN,Cytochrome P450 family 4 subfamily F member 3,CYP4F3,Homo sapiens (Human),79,,,,,,,,
2,,V9GYA1,V9GYA1_HUMAN,Cytochrome P450 family 4 subfamily F member 3,CYP4F3,Homo sapiens (Human),74,,,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,
0,"(gene:""AKR1A1"")",P14550,AK1A1_HUMAN,Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-),AKR1A1 ALDR1 ALR,Homo sapiens (Human),325,aldehyde catabolic process [GO:0046185]; cellular detoxification of aldehyde [GO:0110095]; D-glucuronate catabolic process [GO:0042840]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; glucuronate catabolic process to xylulose 5-phosphate [GO:0019640]; glutathione derivative biosynthetic process [GO:1901687]; L-ascorbic acid biosynthetic process [GO:0019853]; lipid metabolic process [GO:0006629]; negative regulation of apoptotic process [GO:0043066],apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; synapse [GO:0045202],apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; synapse [GO:0045202]; aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; allyl-alcohol dehydrogenase activity [GO:0047655]; glucuronolactone reductase activity [GO:0047941]; glycerol dehydrogenase (NADP+) activity [GO:0047956]; L-glucuronate reductase activity [GO:0047939]; methylglyoxal reductase (NADPH) (acetol producing) activity [GO:1990002]; S-nitrosoglutathione reductase (NADH) activity [GO:0080007]; S-nitrosoglutathione reductase (NADPH) activity [GO:0160163]; aldehyde catabolic process [GO:0046185]; cellular detoxification of aldehyde [GO:0110095]; D-glucuronate catabolic process [GO:0042840]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; glucuronate catabolic process to xylulose 5-phosphate [GO:0019640]; glutathione derivative biosynthetic process [GO:1901687]; L-ascorbic acid biosynthetic process [GO:0019853]; lipid metabolic process [GO:0006629]; negative regulation of apoptotic process [GO:0043066],aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; allyl-alcohol dehydrogenase activity [GO:0047655]; glucuronolactone reductase activity [GO:0047941]; glycerol dehydrogenase (NADP+) activity [GO:0047956]; L-glucuronate reductase activity [GO:0047939]; methylglyoxal reductase (NADPH) (acetol producing) activity [GO:1990002]; S-nitrosoglutathione reductase (NADH) activity [GO:0080007]; S-nitrosoglutathione reductase (NADPH) activity [GO:0160163],,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JII6}. Apical cell membrane {ECO:0000250|UniProtKB:Q9JII6}.",
1,,Q5T621,Q5T621_HUMAN,Aldo-keto reductase family 1 member A1,AKR1A1,Homo sapiens (Human),147,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
2,,V9GYG2,V9GYG2_HUMAN,Aldo-keto reductase family 1 member A1,AKR1A1,Homo sapiens (Human),119,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
3,,V9GYP9,V9GYP9_HUMAN,Aldo-keto reductase family 1 member A1,AKR1A1,Homo sapiens (Human),140,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
0,"(gene:""CYP4V2"")",Q6ZWL3,CP4V2_HUMAN,Cytochrome P450 4V2 (Docosahexaenoic acid omega-hydroxylase CYP4V2) (EC 1.14.14.79) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80),CYP4V2,Homo sapiens (Human),525,fatty acid omega-oxidation [GO:0010430]; retinoid metabolic process [GO:0001523]; sterol metabolic process [GO:0016125]; visual perception [GO:0007601],endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; long-chain fatty acid omega-hydroxylase activity [GO:0102033]; monooxygenase activity [GO:0004497]; fatty acid omega-oxidation [GO:0010430]; retinoid metabolic process [GO:0001523]; sterol metabolic process [GO:0016125]; visual perception [GO:0007601],heme binding [GO:0020037]; iron ion binding [GO:0005506]; long-chain fatty acid omega-hydroxylase activity [GO:0102033]; monooxygenase activity [GO:0004497],,"TRANSMEM 13..33; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22772592}; Single-pass membrane protein {ECO:0000305}.,
